,Original Player_FP,POS,AGE,TIERS,RK,Rank,Rank_PFF,Composite Rank
372,Quinshon Judkins,RB20,21,8.0,82.0,111.0,85.0,92.67
105,David Montgomery,RB22,28,8.0,92.0,95.0,93.0,93.33
241,Jerry Jeudy,WR32,26,8.0,83.0,101.0,97.0,93.67
247,Joe Mixon,RB23,29,8.0,96.0,85.0,106.0,95.67
384,Ricky Pearsall,WR39,24,8.0,98.0,109.0,80.0,95.67
212,James Conner,RB29,30,9.0,113.0,63.0,119.0,98.33
294,Khalil Shakir,WR41,25,9.0,101.0,93.0,102.0,98.67
177,Isiah Pacheco,RB26,26,9.0,109.0,89.0,100.0,99.33
3,Aaron Jones Sr.,RB32,30,9.0,125.0,74.0,,99.5
479,,,,,,194.0,6.0,100.0
455,Tyler Warren,TE6,23,7.0,74.0,145.0,82.0,100.33
106,David Njoku,TE8,29,8.0,90.0,113.0,98.0,100.33
492,,,,,,195.0,6.0,100.5
81,Courtland Sutton,WR43,29,9.0,103.0,90.0,111.0,101.33
505,,,,,,197.0,6.0,101.5
518,,,,,,200.0,6.0,103.0
220,Jauan Jennings,WR49,28,9.0,117.0,98.0,94.0,103.0
145,Emeka Egbuka,WR30,22,7.0,71.0,157.0,81.0,103.0
531,,,,,,201.0,6.0,103.5
92,Dalton Kincaid,TE11,25,8.0,97.0,124.0,92.0,104.33
332,Matthew Golden,WR37,22,8.0,94.0,135.0,86.0,105.0
261,Josh Downs,WR42,23,9.0,102.0,110.0,104.0,105.33
44,Brian Robinson Jr.,RB27,26,9.0,110.0,104.0,,107.0
325,Mark Andrews,TE10,29,8.0,93.0,127.0,103.0,107.67
68,Chris Godwin,WR40,29,8.0,99.0,105.0,120.0,108.0
157,Geno Smith,QB27,34,9.0,120.0,88.0,116.0,108.0
424,Tony Pollard,RB25,28,9.0,107.0,91.0,126.0,108.0
79,Colston Loveland,TE7,21,7.0,77.0,176.0,72.0,108.33
57,Calvin Ridley,WR48,30,9.0,114.0,80.0,131.0,108.33
458,Tyrone Tracy Jr.,RB30,25,9.0,115.0,103.0,,109.0
225,Jaxson Dart,QB28,22,9.0,121.0,152.0,56.0,109.67
544,,,,,,216.0,6.0,111.0
557,,,,,,217.0,6.0,111.5
570,,,,,,218.0,6.0,112.0
228,Jayden Reed,WR45,25,9.0,105.0,107.0,124.0,112.0
583,,,,,,219.0,6.0,112.5
38,Brandon Aiyuk,WR34,27,8.0,85.0,125.0,128.0,112.67
333,Matthew Stafford,QB29,37,10.0,130.0,62.0,148.0,113.33
197,Jakobi Meyers,WR50,28,9.0,118.0,108.0,114.0,113.33
596,,,,,,221.0,6.0,113.5
609,,,,,,222.0,6.0,114.0
622,,,,,,223.0,6.0,114.5
148,Evan Engram,TE12,30,9.0,112.0,114.0,121.0,115.67
18,Anthony Richardson Sr.,QB26,23,9.0,116.0,119.0,,117.5
338,Michael Pittman Jr.,WR47,27,9.0,108.0,120.0,129.0,119.0
59,Cam Skattebo,RB31,23,9.0,122.0,146.0,89.0,119.0
635,,,,,,233.0,6.0,119.5
648,,,,,,235.0,6.0,120.5
661,,,,,,237.0,6.0,121.5
114,Deebo Samuel Sr.,WR51,29,9.0,119.0,126.0,,122.5
426,Travis Etienne Jr.,RB33,26,9.0,127.0,100.0,143.0,123.33
674,,,,,,241.0,6.0,123.5
687,,,,,,242.0,6.0,124.0
428,Travis Kelce,TE14,35,9.0,124.0,83.0,165.0,124.0
231,Jaylen Warren,RB37,26,10.0,144.0,115.0,113.0,124.0
700,,,,,,243.0,6.0,124.5
713,,,,,,245.0,6.0,125.5
726,,,,,,248.0,6.0,127.0
739,,,,,,249.0,6.0,127.5
100,Darnell Mooney,WR53,27,10.0,128.0,132.0,125.0,128.33
752,,,,,,252.0,6.0,129.0
383,Rhamondre Stevenson,RB38,27,10.0,145.0,116.0,127.0,129.33
315,Luther Burden III,WR38,21,8.0,95.0,192.0,101.0,129.33
